cluster_id,x_m,y_m,x_km,y_km,x_km_shift,y_km_shift,total_demand,scaled_demand
0.000000000000000000e+00,1.394733562999018235e+06,1.351757600036219694e+06,1.394733562999018204e+03,1.351757600036219628e+03,5.092990330275259112e+03,1.658776688008570090e+03,1.305429097850418091e+07,1.305429097850418074e+01
1.000000000000000000e+00,-6.771341916709704092e+05,1.851775018095512642e+06,-6.771341916709703810e+02,1.851775018095512678e+03,3.021122575605270413e+03,2.158794106067863140e+03,7.416004115036010742e+06,7.416004115036010980e+00
2.000000000000000000e+00,7.983804612388015958e+05,2.013720329984294251e+06,7.983804612388015585e+02,2.013720329984294267e+03,4.496637228515041897e+03,2.320739417956644502e+03,1.654853534394836426e+07,1.654853534394836601e+01
3.000000000000000000e+00,-1.900505735007666517e+06,1.332202073555190116e+06,-1.900505735007666544e+03,1.332202073555190054e+03,1.797751032268574136e+03,1.639221161527540517e+03,1.344506576382446289e+07,1.344506576382446283e+01
4.000000000000000000e+00,-1.721302628635944799e+06,2.811434468589555472e+06,-1.721302628635944757e+03,2.811434468589555308e+03,1.976954138640295923e+03,3.118453556561905771e+03,7.887094304538726807e+06,7.887094304538726952e+00
5.000000000000000000e+00,-7.560935170835109893e+05,5.598849472011076286e+05,-7.560935170835109602e+02,5.598849472011075932e+02,2.942163250192729720e+03,8.669040351734579417e+02,1.009206744464111328e+07,1.009206744464111338e+01
6.000000000000000000e+00,1.671261309169075219e+06,5.058909604721011128e+05,1.671261309169075275e+03,5.058909604721010851e+02,5.369518076445316183e+03,8.129100484444514905e+02,8.836066993739128113e+06,8.836066993739128961e+00
7.000000000000000000e+00,1.825138996577533893e+06,2.371042942815772258e+06,1.825138996577533817e+03,2.371042942815772221e+03,5.523395763853774042e+03,2.678062030788122684e+03,1.718875958777713776e+07,1.718875958777713819e+01
8.000000000000000000e+00,2.130691453108075657e+05,8.656582393331180792e+05,2.130691453108075564e+02,8.656582393331181038e+02,3.911325912587048151e+03,1.172677327305468452e+03,1.718972494018554688e+07,1.718972494018554542e+01
9.000000000000000000e+00,4.540237435552670649e+04,2.871604249746051151e+06,4.540237435552670320e+01,2.871604249746051210e+03,3.743659141631767397e+03,3.178623337718401672e+03,9.536638304103851318e+06,9.536638304103851382e+00
